Date,Year,Quarter,Month Number,Month,Year-Month,Day,Day Name,Week Number,Is Weekend
2024-02-16,2024,Q1,2,February,2024-02,16,Friday,7,False
2024-02-17,2024,Q1,2,February,2024-02,17,Saturday,7,True
2024-02-18,2024,Q1,2,February,2024-02,18,Sunday,7,True
2024-02-19,2024,Q1,2,February,2024-02,19,Monday,8,False
2024-02-20,2024,Q1,2,February,2024-02,20,Tuesday,8,False
2024-02-21,2024,Q1,2,February,2024-02,21,Wednesday,8,False
2024-02-22,2024,Q1,2,February,2024-02,22,Thursday,8,False
2024-02-23,2024,Q1,2,February,2024-02,23,Friday,8,False
2024-02-24,2024,Q1,2,February,2024-02,24,Saturday,8,True
2024-02-25,2024,Q1,2,February,2024-02,25,Sunday,8,True
2024-02-26,2024,Q1,2,February,2024-02,26,Monday,9,False
2024-02-27,2024,Q1,2,February,2024-02,27,Tuesday,9,False
2024-02-28,2024,Q1,2,February,2024-02,28,Wednesday,9,False
2024-02-29,2024,Q1,2,February,2024-02,29,Thursday,9,False
2024-03-01,2024,Q1,3,March,2024-03,1,Friday,9,False
2024-03-02,2024,Q1,3,March,2024-03,2,Saturday,9,True
2024-03-03,2024,Q1,3,March,2024-03,3,Sunday,9,True
2024-03-04,2024,Q1,3,March,2024-03,4,Monday,10,False
2024-03-05,2024,Q1,3,March,2024-03,5,Tuesday,10,False
2024-03-06,2024,Q1,3,March,2024-03,6,Wednesday,10,False
2024-03-07,2024,Q1,3,March,2024-03,7,Thursday,10,False
2024-03-08,2024,Q1,3,March,2024-03,8,Friday,10,False
2024-03-09,2024,Q1,3,March,2024-03,9,Saturday,10,True
2024-03-10,2024,Q1,3,March,2024-03,10,Sunday,10,True
2024-03-11,2024,Q1,3,March,2024-03,11,Monday,11,False
2024-03-12,2024,Q1,3,March,2024-03,12,Tuesday,11,False
2024-03-13,2024,Q1,3,March,2024-03,13,Wednesday,11,False
2024-03-14,2024,Q1,3,March,2024-03,14,Thursday,11,False
2024-03-15,2024,Q1,3,March,2024-03,15,Friday,11,False
2024-03-16,2024,Q1,3,March,2024-03,16,Saturday,11,True
2024-03-17,2024,Q1,3,March,2024-03,17,Sunday,11,True
2024-03-18,2024,Q1,3,March,2024-03,18,Monday,12,False
2024-03-19,2024,Q1,3,March,2024-03,19,Tuesday,12,False
2024-03-20,2024,Q1,3,March,2024-03,20,Wednesday,12,False
2024-03-21,2024,Q1,3,March,2024-03,21,Thursday,12,False
2024-03-22,2024,Q1,3,March,2024-03,22,Friday,12,False
2024-03-23,2024,Q1,3,March,2024-03,23,Saturday,12,True
2024-03-24,2024,Q1,3,March,2024-03,24,Sunday,12,True
2024-03-25,2024,Q1,3,March,2024-03,25,Monday,13,False
2024-03-26,2024,Q1,3,March,2024-03,26,Tuesday,13,False
2024-03-27,2024,Q1,3,March,2024-03,27,Wednesday,13,False
2024-03-28,2024,Q1,3,March,2024-03,28,Thursday,13,False
2024-03-29,2024,Q1,3,March,2024-03,29,Friday,13,False
2024-03-30,2024,Q1,3,March,2024-03,30,Saturday,13,True
2024-03-31,2024,Q1,3,March,2024-03,31,Sunday,13,True
2024-04-01,2024,Q2,4,April,2024-04,1,Monday,14,False
2024-04-02,2024,Q2,4,April,2024-04,2,Tuesday,14,False
2024-04-03,2024,Q2,4,April,2024-04,3,Wednesday,14,False
2024-04-04,2024,Q2,4,April,2024-04,4,Thursday,14,False
2024-04-05,2024,Q2,4,April,2024-04,5,Friday,14,False
2024-04-06,2024,Q2,4,April,2024-04,6,Saturday,14,True
2024-04-07,2024,Q2,4,April,2024-04,7,Sunday,14,True
2024-04-08,2024,Q2,4,April,2024-04,8,Monday,15,False
2024-04-09,2024,Q2,4,April,2024-04,9,Tuesday,15,False
2024-04-10,2024,Q2,4,April,2024-04,10,Wednesday,15,False
2024-04-11,2024,Q2,4,April,2024-04,11,Thursday,15,False
2024-04-12,2024,Q2,4,April,2024-04,12,Friday,15,False
2024-04-13,2024,Q2,4,April,2024-04,13,Saturday,15,True
2024-04-14,2024,Q2,4,April,2024-04,14,Sunday,15,True
2024-04-15,2024,Q2,4,April,2024-04,15,Monday,16,False
2024-04-16,2024,Q2,4,April,2024-04,16,Tuesday,16,False
2024-04-17,2024,Q2,4,April,2024-04,17,Wednesday,16,False
2024-04-18,2024,Q2,4,April,2024-04,18,Thursday,16,False
2024-04-19,2024,Q2,4,April,2024-04,19,Friday,16,False
2024-04-20,2024,Q2,4,April,2024-04,20,Saturday,16,True
2024-04-21,2024,Q2,4,April,2024-04,21,Sunday,16,True
2024-04-22,2024,Q2,4,April,2024-04,22,Monday,17,False
2024-04-23,2024,Q2,4,April,2024-04,23,Tuesday,17,False
2024-04-24,2024,Q2,4,April,2024-04,24,Wednesday,17,False
2024-04-25,2024,Q2,4,April,2024-04,25,Thursday,17,False
2024-04-26,2024,Q2,4,April,2024-04,26,Friday,17,False
2024-04-27,2024,Q2,4,April,2024-04,27,Saturday,17,True
2024-04-28,2024,Q2,4,April,2024-04,28,Sunday,17,True
2024-04-29,2024,Q2,4,April,2024-04,29,Monday,18,False
2024-04-30,2024,Q2,4,April,2024-04,30,Tuesday,18,False
2024-05-01,2024,Q2,5,May,2024-05,1,Wednesday,18,False
2024-05-02,2024,Q2,5,May,2024-05,2,Thursday,18,False
2024-05-03,2024,Q2,5,May,2024-05,3,Friday,18,False
2024-05-04,2024,Q2,5,May,2024-05,4,Saturday,18,True
2024-05-05,2024,Q2,5,May,2024-05,5,Sunday,18,True
2024-05-06,2024,Q2,5,May,2024-05,6,Monday,19,False
2024-05-07,2024,Q2,5,May,2024-05,7,Tuesday,19,False
2024-05-08,2024,Q2,5,May,2024-05,8,Wednesday,19,False
2024-05-09,2024,Q2,5,May,2024-05,9,Thursday,19,False
2024-05-10,2024,Q2,5,May,2024-05,10,Friday,19,False
2024-05-11,2024,Q2,5,May,2024-05,11,Saturday,19,True
2024-05-12,2024,Q2,5,May,2024-05,12,Sunday,19,True
2024-05-13,2024,Q2,5,May,2024-05,13,Monday,20,False
2024-05-14,2024,Q2,5,May,2024-05,14,Tuesday,20,False
2024-05-15,2024,Q2,5,May,2024-05,15,Wednesday,20,False
2024-05-16,2024,Q2,5,May,2024-05,16,Thursday,20,False
2024-05-17,2024,Q2,5,May,2024-05,17,Friday,20,False
2024-05-18,2024,Q2,5,May,2024-05,18,Saturday,20,True
2024-05-19,2024,Q2,5,May,2024-05,19,Sunday,20,True
2024-05-20,2024,Q2,5,May,2024-05,20,Monday,21,False
2024-05-21,2024,Q2,5,May,2024-05,21,Tuesday,21,False
2024-05-22,2024,Q2,5,May,2024-05,22,Wednesday,21,False
2024-05-23,2024,Q2,5,May,2024-05,23,Thursday,21,False
2024-05-24,2024,Q2,5,May,2024-05,24,Friday,21,False
2024-05-25,2024,Q2,5,May,2024-05,25,Saturday,21,True
2024-05-26,2024,Q2,5,May,2024-05,26,Sunday,21,True
2024-05-27,2024,Q2,5,May,2024-05,27,Monday,22,False
2024-05-28,2024,Q2,5,May,2024-05,28,Tuesday,22,False
2024-05-29,2024,Q2,5,May,2024-05,29,Wednesday,22,False
2024-05-30,2024,Q2,5,May,2024-05,30,Thursday,22,False
2024-05-31,2024,Q2,5,May,2024-05,31,Friday,22,False
2024-06-01,2024,Q2,6,June,2024-06,1,Saturday,22,True
2024-06-02,2024,Q2,6,June,2024-06,2,Sunday,22,True
2024-06-03,2024,Q2,6,June,2024-06,3,Monday,23,False
2024-06-04,2024,Q2,6,June,2024-06,4,Tuesday,23,False
2024-06-05,2024,Q2,6,June,2024-06,5,Wednesday,23,False
2024-06-06,2024,Q2,6,June,2024-06,6,Thursday,23,False
2024-06-07,2024,Q2,6,June,2024-06,7,Friday,23,False
2024-06-08,2024,Q2,6,June,2024-06,8,Saturday,23,True
2024-06-09,2024,Q2,6,June,2024-06,9,Sunday,23,True
2024-06-10,2024,Q2,6,June,2024-06,10,Monday,24,False
2024-06-11,2024,Q2,6,June,2024-06,11,Tuesday,24,False
2024-06-12,2024,Q2,6,June,2024-06,12,Wednesday,24,False
2024-06-13,2024,Q2,6,June,2024-06,13,Thursday,24,False
2024-06-14,2024,Q2,6,June,2024-06,14,Friday,24,False
2024-06-15,2024,Q2,6,June,2024-06,15,Saturday,24,True
2024-06-16,2024,Q2,6,June,2024-06,16,Sunday,24,True
2024-06-17,2024,Q2,6,June,2024-06,17,Monday,25,False
2024-06-18,2024,Q2,6,June,2024-06,18,Tuesday,25,False
2024-06-19,2024,Q2,6,June,2024-06,19,Wednesday,25,False
2024-06-20,2024,Q2,6,June,2024-06,20,Thursday,25,False
2024-06-21,2024,Q2,6,June,2024-06,21,Friday,25,False
2024-06-22,2024,Q2,6,June,2024-06,22,Saturday,25,True
2024-06-23,2024,Q2,6,June,2024-06,23,Sunday,25,True
2024-06-24,2024,Q2,6,June,2024-06,24,Monday,26,False
2024-06-25,2024,Q2,6,June,2024-06,25,Tuesday,26,False
2024-06-26,2024,Q2,6,June,2024-06,26,Wednesday,26,False
2024-06-27,2024,Q2,6,June,2024-06,27,Thursday,26,False
2024-06-28,2024,Q2,6,June,2024-06,28,Friday,26,False
2024-06-29,2024,Q2,6,June,2024-06,29,Saturday,26,True
2024-06-30,2024,Q2,6,June,2024-06,30,Sunday,26,True
2024-07-01,2024,Q3,7,July,2024-07,1,Monday,27,False
2024-07-02,2024,Q3,7,July,2024-07,2,Tuesday,27,False
2024-07-03,2024,Q3,7,July,2024-07,3,Wednesday,27,False
2024-07-04,2024,Q3,7,July,2024-07,4,Thursday,27,False
2024-07-05,2024,Q3,7,July,2024-07,5,Friday,27,False
2024-07-06,2024,Q3,7,July,2024-07,6,Saturday,27,True
2024-07-07,2024,Q3,7,July,2024-07,7,Sunday,27,True
2024-07-08,2024,Q3,7,July,2024-07,8,Monday,28,False
2024-07-09,2024,Q3,7,July,2024-07,9,Tuesday,28,False
2024-07-10,2024,Q3,7,July,2024-07,10,Wednesday,28,False
2024-07-11,2024,Q3,7,July,2024-07,11,Thursday,28,False
2024-07-12,2024,Q3,7,July,2024-07,12,Friday,28,False
2024-07-13,2024,Q3,7,July,2024-07,13,Saturday,28,True
2024-07-14,2024,Q3,7,July,2024-07,14,Sunday,28,True
2024-07-15,2024,Q3,7,July,2024-07,15,Monday,29,False
2024-07-16,2024,Q3,7,July,2024-07,16,Tuesday,29,False
2024-07-17,2024,Q3,7,July,2024-07,17,Wednesday,29,False
2024-07-18,2024,Q3,7,July,2024-07,18,Thursday,29,False
2024-07-19,2024,Q3,7,July,2024-07,19,Friday,29,False
2024-07-20,2024,Q3,7,July,2024-07,20,Saturday,29,True
2024-07-21,2024,Q3,7,July,2024-07,21,Sunday,29,True
2024-07-22,2024,Q3,7,July,2024-07,22,Monday,30,False
2024-07-23,2024,Q3,7,July,2024-07,23,Tuesday,30,False
2024-07-24,2024,Q3,7,July,2024-07,24,Wednesday,30,False
2024-07-25,2024,Q3,7,July,2024-07,25,Thursday,30,False
2024-07-26,2024,Q3,7,July,2024-07,26,Friday,30,False
2024-07-27,2024,Q3,7,July,2024-07,27,Saturday,30,True
2024-07-28,2024,Q3,7,July,2024-07,28,Sunday,30,True
2024-07-29,2024,Q3,7,July,2024-07,29,Monday,31,False
2024-07-30,2024,Q3,7,July,2024-07,30,Tuesday,31,False
2024-07-31,2024,Q3,7,July,2024-07,31,Wednesday,31,False
2024-08-01,2024,Q3,8,August,2024-08,1,Thursday,31,False
2024-08-02,2024,Q3,8,August,2024-08,2,Friday,31,False
2024-08-03,2024,Q3,8,August,2024-08,3,Saturday,31,True
2024-08-04,2024,Q3,8,August,2024-08,4,Sunday,31,True
2024-08-05,2024,Q3,8,August,2024-08,5,Monday,32,False
2024-08-06,2024,Q3,8,August,2024-08,6,Tuesday,32,False
2024-08-07,2024,Q3,8,August,2024-08,7,Wednesday,32,False
2024-08-08,2024,Q3,8,August,2024-08,8,Thursday,32,False
2024-08-09,2024,Q3,8,August,2024-08,9,Friday,32,False
2024-08-10,2024,Q3,8,August,2024-08,10,Saturday,32,True
2024-08-11,2024,Q3,8,August,2024-08,11,Sunday,32,True
2024-08-12,2024,Q3,8,August,2024-08,12,Monday,33,False
2024-08-13,2024,Q3,8,August,2024-08,13,Tuesday,33,False
2024-08-14,2024,Q3,8,August,2024-08,14,Wednesday,33,False
2024-08-15,2024,Q3,8,August,2024-08,15,Thursday,33,False
2024-08-16,2024,Q3,8,August,2024-08,16,Friday,33,False
2024-08-17,2024,Q3,8,August,2024-08,17,Saturday,33,True
2024-08-18,2024,Q3,8,August,2024-08,18,Sunday,33,True
2024-08-19,2024,Q3,8,August,2024-08,19,Monday,34,False
2024-08-20,2024,Q3,8,August,2024-08,20,Tuesday,34,False
2024-08-21,2024,Q3,8,August,2024-08,21,Wednesday,34,False
2024-08-22,2024,Q3,8,August,2024-08,22,Thursday,34,False
2024-08-23,2024,Q3,8,August,2024-08,23,Friday,34,False
2024-08-24,2024,Q3,8,August,2024-08,24,Saturday,34,True
2024-08-25,2024,Q3,8,August,2024-08,25,Sunday,34,True
2024-08-26,2024,Q3,8,August,2024-08,26,Monday,35,False
2024-08-27,2024,Q3,8,August,2024-08,27,Tuesday,35,False
2024-08-28,2024,Q3,8,August,2024-08,28,Wednesday,35,False
2024-08-29,2024,Q3,8,August,2024-08,29,Thursday,35,False
2024-08-30,2024,Q3,8,August,2024-08,30,Friday,35,False
2024-08-31,2024,Q3,8,August,2024-08,31,Saturday,35,True
2024-09-01,2024,Q3,9,September,2024-09,1,Sunday,35,True
2024-09-02,2024,Q3,9,September,2024-09,2,Monday,36,False
2024-09-03,2024,Q3,9,September,2024-09,3,Tuesday,36,False
2024-09-04,2024,Q3,9,September,2024-09,4,Wednesday,36,False
2024-09-05,2024,Q3,9,September,2024-09,5,Thursday,36,False
2024-09-06,2024,Q3,9,September,2024-09,6,Friday,36,False
2024-09-07,2024,Q3,9,September,2024-09,7,Saturday,36,True
2024-09-08,2024,Q3,9,September,2024-09,8,Sunday,36,True
2024-09-09,2024,Q3,9,September,2024-09,9,Monday,37,False
2024-09-10,2024,Q3,9,September,2024-09,10,Tuesday,37,False
2024-09-11,2024,Q3,9,September,2024-09,11,Wednesday,37,False
2024-09-12,2024,Q3,9,September,2024-09,12,Thursday,37,False
2024-09-13,2024,Q3,9,September,2024-09,13,Friday,37,False
2024-09-14,2024,Q3,9,September,2024-09,14,Saturday,37,True
2024-09-15,2024,Q3,9,September,2024-09,15,Sunday,37,True
2024-09-16,2024,Q3,9,September,2024-09,16,Monday,38,False
2024-09-17,2024,Q3,9,September,2024-09,17,Tuesday,38,False
2024-09-18,2024,Q3,9,September,2024-09,18,Wednesday,38,False
2024-09-19,2024,Q3,9,September,2024-09,19,Thursday,38,False
2024-09-20,2024,Q3,9,September,2024-09,20,Friday,38,False
2024-09-21,2024,Q3,9,September,2024-09,21,Saturday,38,True
2024-09-22,2024,Q3,9,September,2024-09,22,Sunday,38,True
2024-09-23,2024,Q3,9,September,2024-09,23,Monday,39,False
2024-09-24,2024,Q3,9,September,2024-09,24,Tuesday,39,False
2024-09-25,2024,Q3,9,September,2024-09,25,Wednesday,39,False
2024-09-26,2024,Q3,9,September,2024-09,26,Thursday,39,False
2024-09-27,2024,Q3,9,September,2024-09,27,Friday,39,False
2024-09-28,2024,Q3,9,September,2024-09,28,Saturday,39,True
2024-09-29,2024,Q3,9,September,2024-09,29,Sunday,39,True
2024-09-30,2024,Q3,9,September,2024-09,30,Monday,40,False
2024-10-01,2024,Q4,10,October,2024-10,1,Tuesday,40,False
2024-10-02,2024,Q4,10,October,2024-10,2,Wednesday,40,False
2024-10-03,2024,Q4,10,October,2024-10,3,Thursday,40,False
2024-10-04,2024,Q4,10,October,2024-10,4,Friday,40,False
2024-10-05,2024,Q4,10,October,2024-10,5,Saturday,40,True
2024-10-06,2024,Q4,10,October,2024-10,6,Sunday,40,True
2024-10-07,2024,Q4,10,October,2024-10,7,Monday,41,False
2024-10-08,2024,Q4,10,October,2024-10,8,Tuesday,41,False
2024-10-09,2024,Q4,10,October,2024-10,9,Wednesday,41,False
2024-10-10,2024,Q4,10,October,2024-10,10,Thursday,41,False
2024-10-11,2024,Q4,10,October,2024-10,11,Friday,41,False
2024-10-12,2024,Q4,10,October,2024-10,12,Saturday,41,True
2024-10-13,2024,Q4,10,October,2024-10,13,Sunday,41,True
2024-10-14,2024,Q4,10,October,2024-10,14,Monday,42,False
2024-10-15,2024,Q4,10,October,2024-10,15,Tuesday,42,False
2024-10-16,2024,Q4,10,October,2024-10,16,Wednesday,42,False
2024-10-17,2024,Q4,10,October,2024-10,17,Thursday,42,False
2024-10-18,2024,Q4,10,October,2024-10,18,Friday,42,False
2024-10-19,2024,Q4,10,October,2024-10,19,Saturday,42,True
2024-10-20,2024,Q4,10,October,2024-10,20,Sunday,42,True
2024-10-21,2024,Q4,10,October,2024-10,21,Monday,43,False
2024-10-22,2024,Q4,10,October,2024-10,22,Tuesday,43,False
2024-10-23,2024,Q4,10,October,2024-10,23,Wednesday,43,False
2024-10-24,2024,Q4,10,October,2024-10,24,Thursday,43,False
2024-10-25,2024,Q4,10,October,2024-10,25,Friday,43,False
2024-10-26,2024,Q4,10,October,2024-10,26,Saturday,43,True
2024-10-27,2024,Q4,10,October,2024-10,27,Sunday,43,True
2024-10-28,2024,Q4,10,October,2024-10,28,Monday,44,False
2024-10-29,2024,Q4,10,October,2024-10,29,Tuesday,44,False
2024-10-30,2024,Q4,10,October,2024-10,30,Wednesday,44,False
2024-10-31,2024,Q4,10,October,2024-10,31,Thursday,44,False
2024-11-01,2024,Q4,11,November,2024-11,1,Friday,44,False
2024-11-02,2024,Q4,11,November,2024-11,2,Saturday,44,True
2024-11-03,2024,Q4,11,November,2024-11,3,Sunday,44,True
2024-11-04,2024,Q4,11,November,2024-11,4,Monday,45,False
2024-11-05,2024,Q4,11,November,2024-11,5,Tuesday,45,False
2024-11-06,2024,Q4,11,November,2024-11,6,Wednesday,45,False
2024-11-07,2024,Q4,11,November,2024-11,7,Thursday,45,False
2024-11-08,2024,Q4,11,November,2024-11,8,Friday,45,False
2024-11-09,2024,Q4,11,November,2024-11,9,Saturday,45,True
2024-11-10,2024,Q4,11,November,2024-11,10,Sunday,45,True
2024-11-11,2024,Q4,11,November,2024-11,11,Monday,46,False
2024-11-12,2024,Q4,11,November,2024-11,12,Tuesday,46,False
2024-11-13,2024,Q4,11,November,2024-11,13,Wednesday,46,False
2024-11-14,2024,Q4,11,November,2024-11,14,Thursday,46,False
2024-11-15,2024,Q4,11,November,2024-11,15,Friday,46,False
2024-11-16,2024,Q4,11,November,2024-11,16,Saturday,46,True
2024-11-17,2024,Q4,11,November,2024-11,17,Sunday,46,True
2024-11-18,2024,Q4,11,November,2024-11,18,Monday,47,False
2024-11-19,2024,Q4,11,November,2024-11,19,Tuesday,47,False
2024-11-20,2024,Q4,11,November,2024-11,20,Wednesday,47,False
2024-11-21,2024,Q4,11,November,2024-11,21,Thursday,47,False
2024-11-22,2024,Q4,11,November,2024-11,22,Friday,47,False
2024-11-23,2024,Q4,11,November,2024-11,23,Saturday,47,True
2024-11-24,2024,Q4,11,November,2024-11,24,Sunday,47,True
2024-11-25,2024,Q4,11,November,2024-11,25,Monday,48,False
2024-11-26,2024,Q4,11,November,2024-11,26,Tuesday,48,False
2024-11-27,2024,Q4,11,November,2024-11,27,Wednesday,48,False
2024-11-28,2024,Q4,11,November,2024-11,28,Thursday,48,False
2024-11-29,2024,Q4,11,November,2024-11,29,Friday,48,False
2024-11-30,2024,Q4,11,November,2024-11,30,Saturday,48,True
2024-12-01,2024,Q4,12,December,2024-12,1,Sunday,48,True
2024-12-02,2024,Q4,12,December,2024-12,2,Monday,49,False
2024-12-03,2024,Q4,12,December,2024-12,3,Tuesday,49,False
2024-12-04,2024,Q4,12,December,2024-12,4,Wednesday,49,False
2024-12-05,2024,Q4,12,December,2024-12,5,Thursday,49,False
2024-12-06,2024,Q4,12,December,2024-12,6,Friday,49,False
2024-12-07,2024,Q4,12,December,2024-12,7,Saturday,49,True
2024-12-08,2024,Q4,12,December,2024-12,8,Sunday,49,True
2024-12-09,2024,Q4,12,December,2024-12,9,Monday,50,False
2024-12-10,2024,Q4,12,December,2024-12,10,Tuesday,50,False
2024-12-11,2024,Q4,12,December,2024-12,11,Wednesday,50,False
2024-12-12,2024,Q4,12,December,2024-12,12,Thursday,50,False
2024-12-13,2024,Q4,12,December,2024-12,13,Friday,50,False
2024-12-14,2024,Q4,12,December,2024-12,14,Saturday,50,True
2024-12-15,2024,Q4,12,December,2024-12,15,Sunday,50,True
2024-12-16,2024,Q4,12,December,2024-12,16,Monday,51,False
2024-12-17,2024,Q4,12,December,2024-12,17,Tuesday,51,False
2024-12-18,2024,Q4,12,December,2024-12,18,Wednesday,51,False
2024-12-19,2024,Q4,12,December,2024-12,19,Thursday,51,False
2024-12-20,2024,Q4,12,December,2024-12,20,Friday,51,False
2024-12-21,2024,Q4,12,December,2024-12,21,Saturday,51,True
2024-12-22,2024,Q4,12,December,2024-12,22,Sunday,51,True
2024-12-23,2024,Q4,12,December,2024-12,23,Monday,52,False
2024-12-24,2024,Q4,12,December,2024-12,24,Tuesday,52,False
2024-12-25,2024,Q4,12,December,2024-12,25,Wednesday,52,False
2024-12-26,2024,Q4,12,December,2024-12,26,Thursday,52,False
2024-12-27,2024,Q4,12,December,2024-12,27,Friday,52,False
2024-12-28,2024,Q4,12,December,2024-12,28,Saturday,52,True
2024-12-29,2024,Q4,12,December,2024-12,29,Sunday,52,True
2024-12-30,2024,Q4,12,December,2024-12,30,Monday,1,False
2024-12-31,2024,Q4,12,December,2024-12,31,Tuesday,1,False
2025-01-01,2025,Q1,1,January,2025-01,1,Wednesday,1,False
2025-01-02,2025,Q1,1,January,2025-01,2,Thursday,1,False
2025-01-03,2025,Q1,1,January,2025-01,3,Friday,1,False
2025-01-04,2025,Q1,1,January,2025-01,4,Saturday,1,True
2025-01-05,2025,Q1,1,January,2025-01,5,Sunday,1,True
2025-01-06,2025,Q1,1,January,2025-01,6,Monday,2,False
2025-01-07,2025,Q1,1,January,2025-01,7,Tuesday,2,False
2025-01-08,2025,Q1,1,January,2025-01,8,Wednesday,2,False
2025-01-09,2025,Q1,1,January,2025-01,9,Thursday,2,False
2025-01-10,2025,Q1,1,January,2025-01,10,Friday,2,False
2025-01-11,2025,Q1,1,January,2025-01,11,Saturday,2,True
2025-01-12,2025,Q1,1,January,2025-01,12,Sunday,2,True
2025-01-13,2025,Q1,1,January,2025-01,13,Monday,3,False
2025-01-14,2025,Q1,1,January,2025-01,14,Tuesday,3,False
2025-01-15,2025,Q1,1,January,2025-01,15,Wednesday,3,False
2025-01-16,2025,Q1,1,January,2025-01,16,Thursday,3,False
2025-01-17,2025,Q1,1,January,2025-01,17,Friday,3,False
2025-01-18,2025,Q1,1,January,2025-01,18,Saturday,3,True
2025-01-19,2025,Q1,1,January,2025-01,19,Sunday,3,True
2025-01-20,2025,Q1,1,January,2025-01,20,Monday,4,False
2025-01-21,2025,Q1,1,January,2025-01,21,Tuesday,4,False
2025-01-22,2025,Q1,1,January,2025-01,22,Wednesday,4,False
2025-01-23,2025,Q1,1,January,2025-01,23,Thursday,4,False
2025-01-24,2025,Q1,1,January,2025-01,24,Friday,4,False
2025-01-25,2025,Q1,1,January,2025-01,25,Saturday,4,True
2025-01-26,2025,Q1,1,January,2025-01,26,Sunday,4,True
2025-01-27,2025,Q1,1,January,2025-01,27,Monday,5,False
2025-01-28,2025,Q1,1,January,2025-01,28,Tuesday,5,False
2025-01-29,2025,Q1,1,January,2025-01,29,Wednesday,5,False
2025-01-30,2025,Q1,1,January,2025-01,30,Thursday,5,False
2025-01-31,2025,Q1,1,January,2025-01,31,Friday,5,False
2025-02-01,2025,Q1,2,February,2025-02,1,Saturday,5,True
2025-02-02,2025,Q1,2,February,2025-02,2,Sunday,5,True
2025-02-03,2025,Q1,2,February,2025-02,3,Monday,6,False
2025-02-04,2025,Q1,2,February,2025-02,4,Tuesday,6,False
2025-02-05,2025,Q1,2,February,2025-02,5,Wednesday,6,False
2025-02-06,2025,Q1,2,February,2025-02,6,Thursday,6,False
2025-02-07,2025,Q1,2,February,2025-02,7,Friday,6,False
2025-02-08,2025,Q1,2,February,2025-02,8,Saturday,6,True
2025-02-09,2025,Q1,2,February,2025-02,9,Sunday,6,True
2025-02-10,2025,Q1,2,February,2025-02,10,Monday,7,False
2025-02-11,2025,Q1,2,February,2025-02,11,Tuesday,7,False
2025-02-12,2025,Q1,2,February,2025-02,12,Wednesday,7,False
